File,Meth,FSize,MDepth,MSize,Entropy
bib,CTW,111261,1,82,390367.5
bib,SM1PF,111261,1,82,437989
bib,SMUKN,111261,1,82,385249.9
bib,PPMDP,111261,1,82,636111.5
bib,PPMDPFull,111261,1,82,581878.4
bib,HashCTW,111261,1,128,390989
bib,HashSM1PF,111261,1,128,438132.6
bib,HashSMUKN,111261,1,128,385724.2
bib,HashPPMDP,111261,1,128,384104.6
bib,HashPPMDPFull,111261,1,128,384726.8
bib,FNVHashCTW,111261,1,128,402651.8
bib,FNVHashSM1PF,111261,1,128,449837.7
bib,FNVHashSMUKN,111261,1,128,387145.5
bib,FNVHashPPMDP,111261,1,128,385551.6
bib,FNVHashPPMDPFull,111261,1,128,396589.6
bib,AmnesiaCTW,111261,1,128,390367.5
bib,AmnesiaSM1PF,111261,1,128,437989
bib,AmnesiaSMUKN,111261,1,128,385249.9
bib,AmnesiaPPMDP,111261,1,128,636111.5
bib,AmnesiaPPMDPFull,111261,1,128,581878.4
bib,HashCTW,111261,1,256,390989
bib,HashSM1PF,111261,1,256,438132.6
bib,HashSMUKN,111261,1,256,385724.2
bib,HashPPMDP,111261,1,256,384104.6
bib,HashPPMDPFull,111261,1,256,384726.8
bib,FNVHashCTW,111261,1,256,390426.9
bib,FNVHashSM1PF,111261,1,256,437989
bib,FNVHashSMUKN,111261,1,256,385249.9
bib,FNVHashPPMDP,111261,1,256,383629.7
bib,FNVHashPPMDPFull,111261,1,256,384095.9
bib,AmnesiaCTW,111261,1,256,390367.5
bib,AmnesiaSM1PF,111261,1,256,437989
bib,AmnesiaSMUKN,111261,1,256,385249.9
bib,AmnesiaPPMDP,111261,1,256,636111.5
bib,AmnesiaPPMDPFull,111261,1,256,581878.4
bib,HashCTW,111261,1,512,390989
bib,HashSM1PF,111261,1,512,438132.6
bib,HashSMUKN,111261,1,512,385724.2
bib,HashPPMDP,111261,1,512,384104.6
bib,HashPPMDPFull,111261,1,512,384726.8
bib,FNVHashCTW,111261,1,512,390426.9
bib,FNVHashSM1PF,111261,1,512,437989
bib,FNVHashSMUKN,111261,1,512,385249.9
bib,FNVHashPPMDP,111261,1,512,383629.7
bib,FNVHashPPMDPFull,111261,1,512,384095.9
bib,AmnesiaCTW,111261,1,512,390367.5
bib,AmnesiaSM1PF,111261,1,512,437989
bib,AmnesiaSMUKN,111261,1,512,385249.9
bib,AmnesiaPPMDP,111261,1,512,636111.5
bib,AmnesiaPPMDPFull,111261,1,512,581878.4
bib,HashCTW,111261,1,1024,390426.9
bib,HashSM1PF,111261,1,1024,437989
bib,HashSMUKN,111261,1,1024,385249.9
bib,HashPPMDP,111261,1,1024,383629.7
bib,HashPPMDPFull,111261,1,1024,384095.9
bib,FNVHashCTW,111261,1,1024,390426.9
bib,FNVHashSM1PF,111261,1,1024,437989
bib,FNVHashSMUKN,111261,1,1024,385249.9
bib,FNVHashPPMDP,111261,1,1024,383629.7
bib,FNVHashPPMDPFull,111261,1,1024,384095.9
bib,AmnesiaCTW,111261,1,1024,390367.5
bib,AmnesiaSM1PF,111261,1,1024,437989
bib,AmnesiaSMUKN,111261,1,1024,385249.9
bib,AmnesiaPPMDP,111261,1,1024,636111.5
bib,AmnesiaPPMDPFull,111261,1,1024,581878.4
bib,HashCTW,111261,1,2048,390426.9
bib,HashSM1PF,111261,1,2048,437989
bib,HashSMUKN,111261,1,2048,385249.9
bib,HashPPMDP,111261,1,2048,383629.7
bib,HashPPMDPFull,111261,1,2048,384095.9
bib,FNVHashCTW,111261,1,2048,390426.9
bib,FNVHashSM1PF,111261,1,2048,437989
bib,FNVHashSMUKN,111261,1,2048,385249.9
bib,FNVHashPPMDP,111261,1,2048,383629.7
bib,FNVHashPPMDPFull,111261,1,2048,384095.9
bib,AmnesiaCTW,111261,1,2048,390367.5
bib,AmnesiaSM1PF,111261,1,2048,437989
bib,AmnesiaSMUKN,111261,1,2048,385249.9
bib,AmnesiaPPMDP,111261,1,2048,636111.5
bib,AmnesiaPPMDPFull,111261,1,2048,581878.4
bib,HashCTW,111261,1,4096,390426.9
bib,HashSM1PF,111261,1,4096,437989
bib,HashSMUKN,111261,1,4096,385249.9
bib,HashPPMDP,111261,1,4096,383629.7
bib,HashPPMDPFull,111261,1,4096,384095.9
bib,FNVHashCTW,111261,1,4096,390426.9
bib,FNVHashSM1PF,111261,1,4096,437989
bib,FNVHashSMUKN,111261,1,4096,385249.9
bib,FNVHashPPMDP,111261,1,4096,383629.7
bib,FNVHashPPMDPFull,111261,1,4096,384095.9
bib,AmnesiaCTW,111261,1,4096,390367.5
bib,AmnesiaSM1PF,111261,1,4096,437989
bib,AmnesiaSMUKN,111261,1,4096,385249.9
bib,AmnesiaPPMDP,111261,1,4096,636111.5
bib,AmnesiaPPMDPFull,111261,1,4096,581878.4
bib,HashCTW,111261,1,8192,390426.9
bib,HashSM1PF,111261,1,8192,437989
bib,HashSMUKN,111261,1,8192,385249.9
bib,HashPPMDP,111261,1,8192,383629.7
bib,HashPPMDPFull,111261,1,8192,384095.9
bib,FNVHashCTW,111261,1,8192,390426.9
bib,FNVHashSM1PF,111261,1,8192,437989
bib,FNVHashSMUKN,111261,1,8192,385249.9
bib,FNVHashPPMDP,111261,1,8192,383629.7
bib,FNVHashPPMDPFull,111261,1,8192,384095.9
bib,AmnesiaCTW,111261,1,8192,390367.5
bib,AmnesiaSM1PF,111261,1,8192,437989
bib,AmnesiaSMUKN,111261,1,8192,385249.9
bib,AmnesiaPPMDP,111261,1,8192,636111.5
bib,AmnesiaPPMDPFull,111261,1,8192,581878.4
bib,HashCTW,111261,1,16384,390426.9
bib,HashSM1PF,111261,1,16384,437989
bib,HashSMUKN,111261,1,16384,385249.9
bib,HashPPMDP,111261,1,16384,383629.7
bib,HashPPMDPFull,111261,1,16384,384095.9
bib,FNVHashCTW,111261,1,16384,390426.9
bib,FNVHashSM1PF,111261,1,16384,437989
bib,FNVHashSMUKN,111261,1,16384,385249.9
bib,FNVHashPPMDP,111261,1,16384,383629.7
bib,FNVHashPPMDPFull,111261,1,16384,384095.9
bib,AmnesiaCTW,111261,1,16384,390367.5
bib,AmnesiaSM1PF,111261,1,16384,437989
bib,AmnesiaSMUKN,111261,1,16384,385249.9
bib,AmnesiaPPMDP,111261,1,16384,636111.5
bib,AmnesiaPPMDPFull,111261,1,16384,581878.4
bib,HashCTW,111261,1,32768,390426.9
bib,HashSM1PF,111261,1,32768,437989
bib,HashSMUKN,111261,1,32768,385249.9
bib,HashPPMDP,111261,1,32768,383629.7
bib,HashPPMDPFull,111261,1,32768,384095.9
bib,FNVHashCTW,111261,1,32768,390426.9
bib,FNVHashSM1PF,111261,1,32768,437989
bib,FNVHashSMUKN,111261,1,32768,385249.9
bib,FNVHashPPMDP,111261,1,32768,383629.7
bib,FNVHashPPMDPFull,111261,1,32768,384095.9
bib,AmnesiaCTW,111261,1,32768,390367.5
bib,AmnesiaSM1PF,111261,1,32768,437989
bib,AmnesiaSMUKN,111261,1,32768,385249.9
bib,AmnesiaPPMDP,111261,1,32768,636111.5
bib,AmnesiaPPMDPFull,111261,1,32768,581878.4
bib,HashCTW,111261,1,65536,390426.9
bib,HashSM1PF,111261,1,65536,437989
bib,HashSMUKN,111261,1,65536,385249.9
bib,HashPPMDP,111261,1,65536,383629.7
bib,HashPPMDPFull,111261,1,65536,384095.9
bib,FNVHashCTW,111261,1,65536,390426.9
bib,FNVHashSM1PF,111261,1,65536,437989
bib,FNVHashSMUKN,111261,1,65536,385249.9
bib,FNVHashPPMDP,111261,1,65536,383629.7
bib,FNVHashPPMDPFull,111261,1,65536,384095.9
bib,AmnesiaCTW,111261,1,65536,390367.5
bib,AmnesiaSM1PF,111261,1,65536,437989
bib,AmnesiaSMUKN,111261,1,65536,385249.9
bib,AmnesiaPPMDP,111261,1,65536,636111.5
bib,AmnesiaPPMDPFull,111261,1,65536,581878.4
bib,HashCTW,111261,1,131072,390426.9
bib,HashSM1PF,111261,1,131072,437989
bib,HashSMUKN,111261,1,131072,385249.9
bib,HashPPMDP,111261,1,131072,383629.7
