File,Meth,FSize,MSize,Entropy
shakespeare,CTW,5736277,1056120,12617705.6290835
shakespeare,Hash128,5736277,128,24339817.18811
shakespeare,Hash256,5736277,256,23913513.9971651
shakespeare,Hash512,5736277,512,22714737.5030538
shakespeare,Hash1024,5736277,1024,21929353.6258901
shakespeare,Hash2048,5736277,2048,20398163.8247023
shakespeare,Hash4096,5736277,4096,19270612.3124424
shakespeare,Hash8192,5736277,8192,17858514.8021181
shakespeare,Hash16384,5736277,16384,16553743.725356
shakespeare,Hash32768,5736277,32768,15239704.7322328
shakespeare,Hash65536,5736277,65536,14238316.3046646
shakespeare,Hash131072,5736277,131072,13541108.4697358
shakespeare,Hash262144,5736277,262144,13123464.6320013
