File,Alphabet,Depth,Entropy
bib,Bit,1,873380.6
bib,Bit,2,868400.2
bib,Bit,3,860072.4
bib,Bit,4,846685.9
bib,Bit,5,832696.7
bib,Bit,6,789800.3
bib,Bit,7,732861.9
bib,Bit,8,656256.4
bib,Bit,9,589739.3
bib,Byte,1,390426.9
bib,Byte,2,327979.1
bib,Byte,3,307441.7
bib,Byte,4,305776.2
bib,Byte,5,305925.1
bib,Byte,6,305966.4
bib,Byte,7,305991.3
bib,Byte,8,305998.7
bib,Byte,9,305975
book1,Bit,1,6112584
book1,Bit,2,6005901
book1,Bit,3,5929458
book1,Bit,4,5777424
book1,Bit,5,5666630
book1,Bit,6,5120366
book1,Bit,7,4498750
book1,Bit,8,4066832
book1,Bit,9,3783500
book1,Byte,1,2795542
book1,Byte,2,2303041
book1,Byte,3,2065953
book1,Byte,4,2026482
book1,Byte,5,2023631
book1,Byte,6,2023532
book1,Byte,7,2023590
book1,Byte,8,2023615
