File,Alphabet,Depth,Entropy
book2,Bit,1,4857163
book2,Bit,2,4770373
book2,Bit,3,4718306
book2,Bit,4,4615341
book2,Bit,5,4524647
book2,Bit,6,4174462
book2,Bit,7,3727316
book2,Bit,8,3377125
book2,Byte,1,2298987
book2,Byte,2,1841083
book2,Byte,3,1600137
book2,Byte,4,1549469
book2,Byte,5,1543524
book2,Byte,6,1543342
book2,Byte,7,1542801
book2,Byte,8,1542757
geo,Bit,1,685001.6
geo,Bit,2,680341.2
geo,Bit,3,678510
geo,Bit,4,674419.5
geo,Bit,5,653428
geo,Bit,6,645804.2
geo,Bit,7,628554.2
geo,Bit,8,605108.8
geo,Byte,1,496764.5
geo,Byte,2,500324.6
geo,Byte,3,522353.2
geo,Byte,4,507323.6
geo,Byte,5,507459.7
geo,Byte,6,507467.5
geo,Byte,7,507436.2
geo,Byte,8,507435.7
news,Bit,1,2980656
news,Bit,2,2945644
news,Bit,3,2917077
news,Bit,4,2873879
news,Bit,5,2833586
news,Bit,6,2669833
news,Bit,7,2464177
news,Bit,8,2237811
news,Byte,1,1568498
news,Byte,2,1313125
news,Byte,3,1214733
news,Byte,4,1201447
news,Byte,5,1200342
news,Byte,6,1200105
news,Byte,7,1199980
news,Byte,8,1199985
obj1,Bit,1,141532.2
obj1,Bit,2,137620.4
obj1,Bit,3,136964.2
obj1,Bit,4,135841.7
obj1,Bit,5,133759.4
obj1,Bit,6,131969.9
obj1,Bit,7,130720.1
obj1,Bit,8,129006.2
obj1,Byte,1,100049
obj1,Byte,2,95542.72
obj1,Byte,3,94411.27
obj1,Byte,4,94287.06
obj1,Byte,5,94142.19
obj1,Byte,6,94105.65
obj1,Byte,7,94065.09
obj1,Byte,8,94055.67
obj2,Bit,1,1827125
obj2,Bit,2,1783878
obj2,Bit,3,1754836
obj2,Bit,4,1737231
obj2,Bit,5,1709747
obj2,Bit,6,1652820
obj2,Bit,7,1556907
obj2,Bit,8,1484950
obj2,Byte,1,1002345
obj2,Byte,2,860988.5
obj2,Byte,3,827381.4
obj2,Byte,4,814010.2
obj2,Byte,5,812880.6
obj2,Byte,6,811759.3
obj2,Byte,7,812861.5
obj2,Byte,8,812419.3
paper1,Bit,1,422018
paper1,Bit,2,414598
paper1,Bit,3,410344.9
paper1,Bit,4,402298.7
paper1,Bit,5,395084.5
paper1,Bit,6,368120.2
paper1,Bit,7,333568
paper1,Bit,8,303863.6
paper1,Byte,1,205481.4
paper1,Byte,2,179015.1
paper1,Byte,3,174495.8
paper1,Byte,4,174184.5
paper1,Byte,5,174250
paper1,Byte,6,174271.9
paper1,Byte,7,174255.3
paper1,Byte,8,174251.8
paper2,Bit,1,654723.5
paper2,Bit,2,642370.2
paper2,Bit,3,634111.3
paper2,Bit,4,617432.7
paper2,Bit,5,605269.1
paper2,Bit,6,551030.2
paper2,Bit,7,480048.9
paper2,Bit,8,436858.9
paper2,Byte,1,300982.6
paper2,Byte,2,259454.2
paper2,Byte,3,248345
paper2,Byte,4,247650.7
paper2,Byte,5,247743.3
paper2,Byte,6,247764
paper2,Byte,7,247774.7
paper2,Byte,8,247779.1
paper3,Bit,1,370920.5
paper3,Bit,2,363180.7
paper3,Bit,3,358532.5
paper3,Bit,4,349795.5
paper3,Bit,5,341898.3
paper3,Bit,6,312452.9
paper3,Bit,7,275675.5
paper3,Bit,8,250964.5
paper3,Byte,1,175677.8
paper3,Byte,2,160970.1
paper3,Byte,3,158175.4
paper3,Byte,4,158215.2
paper3,Byte,5,158379.6
paper3,Byte,6,158409.5
paper3,Byte,7,158399.3
paper3,Byte,8,158393.4
paper4,Bit,1,105679.2
paper4,Bit,2,103808
paper4,Bit,3,102495.1
paper4,Bit,4,100177.1
paper4,Bit,5,98142.85
paper4,Bit,6,90801.14
paper4,Bit,7,80742.55
paper4,Bit,8,73056.31
paper4,Byte,1,52797.9
paper4,Byte,2,51200.58
paper4,Byte,3,51097.01
paper4,Byte,4,51102.32
paper4,Byte,5,51100.87
paper4,Byte,6,51107.26
paper4,Byte,7,51106.87
paper4,Byte,8,51109.99
paper5,Bit,1,94661.24
paper5,Bit,2,93404.41
paper5,Bit,3,92360.57
paper5,Bit,4,91095.86
paper5,Bit,5,89788.55
paper5,Bit,6,84079.62
paper5,Bit,7,76907.59
paper5,Bit,8,70209.98
paper5,Byte,1,50165.66
paper5,Byte,2,49223.06
paper5,Byte,3,49179.3
paper5,Byte,4,49169.93
paper5,Byte,5,49174.69
paper5,Byte,6,49170.72
paper5,Byte,7,49173.56
paper5,Byte,8,49176.33
paper6,Bit,1,301330.2
paper6,Bit,2,297075.2
paper6,Bit,3,293475.5
paper6,Bit,4,287619.1
paper6,Bit,5,282265.2
paper6,Bit,6,263953.5
paper6,Bit,7,241158.4
paper6,Bit,8,219897.5
paper6,Byte,1,149240.6
paper6,Byte,2,133134.6
paper6,Byte,3,130668.6
paper6,Byte,4,130682.5
paper6,Byte,5,130732.2
paper6,Byte,6,130738.4
paper6,Byte,7,130734.1
paper6,Byte,8,130739.7
pic,Bit,1,475319
pic,Bit,2,465308.6
pic,Bit,3,451488.2
pic,Bit,4,438109.6
pic,Bit,5,431939.1
pic,Bit,6,426476
pic,Bit,7,423564.5
pic,Bit,8,422793.4
pic,Byte,1,634990.6
pic,Byte,2,615758.3
pic,Byte,3,594565.8
pic,Byte,4,589161.7
pic,Byte,5,577034.5
pic,Byte,6,574452.3
pic,Byte,7,568065.4
pic,Byte,8,566398.2
progc,Bit,1,310402.6
progc,Bit,2,308695.4
progc,Bit,3,306689.6
progc,Bit,4,302706.8
progc,Bit,5,299051.1
progc,Bit,6,287561.9
progc,Bit,7,268913.8
progc,Bit,8,235442.2
progc,Byte,1,155362.3
progc,Byte,2,136986.9
progc,Byte,3,134466.5
progc,Byte,4,134069.2
progc,Byte,5,134040.6
progc,Byte,6,134056.7
progc,Byte,7,134061.9
progc,Byte,8,134068.7
progl,Bit,1,559845.4
progl,Bit,2,554913.2
progl,Bit,3,547178.7
progl,Bit,4,533870.9
progl,Bit,5,520585.9
progl,Bit,6,494185.9
progl,Bit,7,450516.6
progl,Bit,8,369497.1
progl,Byte,1,239104.2
progl,Byte,2,198442.1
progl,Byte,3,188048
progl,Byte,4,186542.1
progl,Byte,5,186099.7
progl,Byte,6,185871.8
progl,Byte,7,185722
progl,Byte,8,185714.3
progp,Bit,1,381073.2
progp,Bit,2,378837
progp,Bit,3,374147.8
progp,Bit,4,370611.3
progp,Bit,5,362041.5
progp,Bit,6,341002.6
progp,Bit,7,308565.2
progp,Bit,8,272766
progp,Byte,1,169173.2
progp,Byte,2,135582.4
progp,Byte,3,127389.4
progp,Byte,4,126784.4
progp,Byte,5,126565.5
progp,Byte,6,126485.6
progp,Byte,7,126519.9
progp,Byte,8,126515.6
trans,Bit,1,729723.6
trans,Bit,2,701600.2
trans,Bit,3,692284.4
trans,Bit,4,684862.4
trans,Bit,5,676147
trans,Bit,6,658214.8
trans,Bit,7,612068.1
trans,Bit,8,552172.3
trans,Byte,1,328285.3
trans,Byte,2,260836.6
trans,Byte,3,242450.1
trans,Byte,4,239618.9
trans,Byte,5,238767.4
trans,Byte,6,238656.4
trans,Byte,7,238600.7
trans,Byte,8,238605
