Alphabet,TableSize,Depth,Entropy
Bit,128,1,226093
Bit,128,2,218412
Bit,128,3,216579
Bit,128,4,213066
Bit,128,5,211550
Bit,128,6,209481
Bit,128,7,208403
Bit,128,8,210147
Bit,128,9,215754
Bit,128,10,215996
Bit,128,11,217450
Bit,128,12,218909
Bit,128,13,220266
Bit,128,14,218420
Bit,128,15,223737
Bit,128,16,224116
Bit,128,17,224956
Bit,128,18,226162
Bit,128,19,223702
Bit,256,1,226093
Bit,256,2,218412
Bit,256,3,216579
Bit,256,4,212914
Bit,256,5,210956
Bit,256,6,206569
Bit,256,7,205832
Bit,256,8,204262
Bit,256,9,207073
Bit,256,10,206581
Bit,256,11,210841
Bit,256,12,212675
Bit,256,13,214005
Bit,256,14,216236
Bit,256,15,220939
Bit,256,16,219796
Bit,256,17,219246
Bit,256,18,220832
Bit,256,19,222934
Bit,512,1,226093
Bit,512,2,218412
Bit,512,3,216579
Bit,512,4,212410
Bit,512,5,210519
Bit,512,6,206119
Bit,512,7,203556
Bit,512,8,200095
Bit,512,9,200934
Bit,512,10,198892
Bit,512,11,202079
Bit,512,12,205678
Bit,512,13,207567
Bit,512,14,210564
Bit,512,15,212096
Bit,512,16,216223
Bit,512,17,217346
Bit,512,18,216943
Bit,512,19,218575
Bit,1024,1,226093
Bit,1024,2,218412
Bit,1024,3,216579
Bit,1024,4,212410
Bit,1024,5,210306
Bit,1024,6,205289
Bit,1024,7,202719
Bit,1024,8,195823
Bit,1024,9,193883
Bit,1024,10,191576
Bit,1024,11,193218
Bit,1024,12,196143
Bit,1024,13,198427
Bit,1024,14,202730
Bit,1024,15,204355
Bit,1024,16,205920
Bit,1024,17,208782
Bit,1024,18,209933
Bit,1024,19,211237
Bit,2048,1,226093
Bit,2048,2,218412
Bit,2048,3,215836
Bit,2048,4,212327
Bit,2048,5,210229
Bit,2048,6,205171
Bit,2048,7,201698
Bit,2048,8,194124
Bit,2048,9,191317
Bit,2048,10,187632
Bit,2048,11,187310
Bit,2048,12,187542
Bit,2048,13,189914
Bit,2048,14,191387
Bit,2048,15,194031
Bit,2048,16,197368
Bit,2048,17,199015
Bit,2048,18,200526
Bit,2048,19,201819
Bit,4096,1,226093
Bit,4096,2,218412
Bit,4096,3,215836
Bit,4096,4,212327
Bit,4096,5,210229
Bit,4096,6,205171
Bit,4096,7,201431
Bit,4096,8,192791
Bit,4096,9,189917
Bit,4096,10,184997
Bit,4096,11,182007
Bit,4096,12,179297
Bit,4096,13,179037
Bit,4096,14,181192
Bit,4096,15,182580
Bit,4096,16,185063
Bit,4096,17,188412
Bit,4096,18,190707
Bit,4096,19,193000
Bit,8192,1,226093
Bit,8192,2,218412
Bit,8192,3,215836
Bit,8192,4,212327
Bit,8192,5,210229
Bit,8192,6,205171
Bit,8192,7,201456
Bit,8192,8,192766
Bit,8192,9,188814
Bit,8192,10,183045
Bit,8192,11,178350
Bit,8192,12,174205
Bit,8192,13,170945
Bit,8192,14,169719
Bit,8192,15,169441
Bit,8192,16,171212
Bit,8192,17,173776
Bit,8192,18,175962
Bit,8192,19,179032
Bit,16384,1,226093
Bit,16384,2,218412
Bit,16384,3,215836
Bit,16384,4,212327
Bit,16384,5,210229
Bit,16384,6,205171
Bit,16384,7,201240
Bit,16384,8,192627
Bit,16384,9,188729
Bit,16384,10,182589
Bit,16384,11,176790
Bit,16384,12,171026
Bit,16384,13,166324
Bit,16384,14,161986
Bit,16384,15,159874
Bit,16384,16,159673
Bit,16384,17,160350
Bit,16384,18,162326
Bit,16384,19,164680
Bit,32768,1,226093
Bit,32768,2,218412
Bit,32768,3,215836
Bit,32768,4,212327
Bit,32768,5,210229
Bit,32768,6,205171
Bit,32768,7,201221
Bit,32768,8,192426
Bit,32768,9,187564
Bit,32768,10,182026
Bit,32768,11,176029
Bit,32768,12,170155
Bit,32768,13,164231
Bit,32768,14,158853
Bit,32768,15,154558
Bit,32768,16,151754
Bit,32768,17,151046
Bit,32768,18,150837
Bit,32768,19,151956
Bit,65536,1,226093
Bit,65536,2,218412
Bit,65536,3,215836
Bit,65536,4,212327
Bit,65536,5,210229
Bit,65536,6,205171
Bit,65536,7,201221
Bit,65536,8,192426
Bit,65536,9,187552
Bit,65536,10,181700
Bit,65536,11,175288
Bit,65536,12,169319
Bit,65536,13,162990
Bit,65536,14,157619
Bit,65536,15,151879
Bit,65536,16,148081
Bit,65536,17,146127
Bit,65536,18,144807
Bit,65536,19,144600
Bit,131072,1,226093
Bit,131072,2,218412
Bit,131072,3,215836
Bit,131072,4,212327
Bit,131072,5,210229
Bit,131072,6,205171
Bit,131072,7,201065
Bit,131072,8,192481
Bit,131072,9,187559
Bit,131072,10,181567
Bit,131072,11,175107
Bit,131072,12,168967
Bit,131072,13,162523
Bit,131072,14,156957
Bit,131072,15,150935
Bit,131072,16,146635
Bit,131072,17,144098
Bit,131072,18,142162
Bit,131072,19,141197
Bit,262144,1,226093
Bit,262144,2,218412
Bit,262144,3,215836
Bit,262144,4,212327
Bit,262144,5,210229
Bit,262144,6,205171
Bit,262144,7,201065
Bit,262144,8,192481
Bit,262144,9,187537
Bit,262144,10,181459
