File,Alphabet,TS,Depth,Entropy
book2,Byte,128,1,2299099
book2,Byte,128,2,2413168
book2,Byte,128,3,2549084
book2,Byte,128,4,2586701
book2,Byte,128,5,2606135
book2,Byte,128,6,2651552
book2,Byte,128,7,2673193
book2,Byte,128,8,2694058
book2,Byte,128,9,2696924
book2,Byte,256,1,2299099
book2,Byte,256,2,2260317
book2,Byte,256,3,2402290
book2,Byte,256,4,2479623
book2,Byte,256,5,2537697
book2,Byte,256,6,2565259
book2,Byte,256,7,2594139
book2,Byte,256,8,2605725
book2,Byte,256,9,2653149
book2,Byte,512,1,2299099
book2,Byte,512,2,2104371
book2,Byte,512,3,2259211
book2,Byte,512,4,2338006
book2,Byte,512,5,2415064
book2,Byte,512,6,2427330
book2,Byte,512,7,2477621
book2,Byte,512,8,2518127
book2,Byte,512,9,2539353
book2,Byte,1024,1,2298987
book2,Byte,1024,2,2009351
book2,Byte,1024,3,2097073
book2,Byte,1024,4,2192292
book2,Byte,1024,5,2267902
book2,Byte,1024,6,2320721
book2,Byte,1024,7,2362944
book2,Byte,1024,8,2393645
book2,Byte,1024,9,2431708
book2,Byte,2048,1,2298987
book2,Byte,2048,2,1950865
book2,Byte,2048,3,1945529
book2,Byte,2048,4,2036534
book2,Byte,2048,5,2127688
book2,Byte,2048,6,2191664
book2,Byte,2048,7,2221820
book2,Byte,2048,8,2261095
book2,Byte,2048,9,2300818
book2,Byte,4096,1,2298987
book2,Byte,4096,2,1922301
book2,Byte,4096,3,1822903
book2,Byte,4096,4,1888675
book2,Byte,4096,5,1972540
book2,Byte,4096,6,2037319
book2,Byte,4096,7,2077755
book2,Byte,4096,8,2124518
book2,Byte,4096,9,2151310
book2,Byte,8192,1,2298987
book2,Byte,8192,2,1903383
book2,Byte,8192,3,1730523
book2,Byte,8192,4,1767110
book2,Byte,8192,5,1827779
book2,Byte,8192,6,1878704
book2,Byte,8192,7,1922630
book2,Byte,8192,8,1962707
book2,Byte,8192,9,1993218
book2,Byte,16384,1,2298987
book2,Byte,16384,2,1870067
book2,Byte,16384,3,1687502
book2,Byte,16384,4,1681516
book2,Byte,16384,5,1720274
book2,Byte,16384,6,1760970
book2,Byte,16384,7,1794800
book2,Byte,16384,8,1826716
book2,Byte,16384,9,1852293
book2,Byte,32768,1,2298987
book2,Byte,32768,2,1870067
book2,Byte,32768,3,1653294
book2,Byte,32768,4,1627147
book2,Byte,32768,5,1645423
book2,Byte,32768,6,1670425
book2,Byte,32768,7,1694091
book2,Byte,32768,8,1717517
book2,Byte,32768,9,1740068
book2,Byte,65536,1,2298987
book2,Byte,65536,2,1870067
book2,Byte,65536,3,1639498
book2,Byte,65536,4,1599311
book2,Byte,65536,5,1604448
