File,Meth,FSize,MDepth,MSize,Entropy
bib,CTW,111261,1,82,390367.5
bib,SMUKN,111261,1,82,385249.9
bib,PPMDP,111261,1,82,383629.7
bib,HashCTW,111261,1,128,390989
bib,HashSMUKN,111261,1,128,385724.2
bib,HashPPMDP,111261,1,128,384104.6
bib,AmnesiaCTW,111261,1,128,390367.5
bib,AmnesiaSMUKN,111261,1,128,385249.9
bib,AmnesiaPPMDP,111261,1,128,383629.7
bib,HashCTW,111261,1,256,390989
bib,HashSMUKN,111261,1,256,385724.2
bib,HashPPMDP,111261,1,256,384104.6
bib,AmnesiaCTW,111261,1,256,390367.5
bib,AmnesiaSMUKN,111261,1,256,385249.9
bib,AmnesiaPPMDP,111261,1,256,383629.7
bib,HashCTW,111261,1,512,390989
bib,HashSMUKN,111261,1,512,385724.2
bib,HashPPMDP,111261,1,512,384104.6
bib,AmnesiaCTW,111261,1,512,390367.5
bib,AmnesiaSMUKN,111261,1,512,385249.9
bib,AmnesiaPPMDP,111261,1,512,383629.7
bib,HashCTW,111261,1,1024,390426.9
bib,HashSMUKN,111261,1,1024,385249.9
bib,HashPPMDP,111261,1,1024,383629.7
bib,AmnesiaCTW,111261,1,1024,390367.5
bib,AmnesiaSMUKN,111261,1,1024,385249.9
bib,AmnesiaPPMDP,111261,1,1024,383629.7
bib,HashCTW,111261,1,2048,390426.9
bib,HashSMUKN,111261,1,2048,385249.9
bib,HashPPMDP,111261,1,2048,383629.7
bib,AmnesiaCTW,111261,1,2048,390367.5
bib,AmnesiaSMUKN,111261,1,2048,385249.9
bib,AmnesiaPPMDP,111261,1,2048,383629.7
bib,HashCTW,111261,1,4096,390426.9
bib,HashSMUKN,111261,1,4096,385249.9
bib,HashPPMDP,111261,1,4096,383629.7
bib,AmnesiaCTW,111261,1,4096,390367.5
bib,AmnesiaSMUKN,111261,1,4096,385249.9
bib,AmnesiaPPMDP,111261,1,4096,383629.7
bib,HashCTW,111261,1,8192,390426.9
bib,HashSMUKN,111261,1,8192,385249.9
bib,HashPPMDP,111261,1,8192,383629.7
bib,AmnesiaCTW,111261,1,8192,390367.5
bib,AmnesiaSMUKN,111261,1,8192,385249.9
bib,AmnesiaPPMDP,111261,1,8192,383629.7
bib,HashCTW,111261,1,16384,390426.9
bib,HashSMUKN,111261,1,16384,385249.9
bib,HashPPMDP,111261,1,16384,383629.7
bib,AmnesiaCTW,111261,1,16384,390367.5
bib,AmnesiaSMUKN,111261,1,16384,385249.9
bib,AmnesiaPPMDP,111261,1,16384,383629.7
bib,HashCTW,111261,1,32768,390426.9
bib,HashSMUKN,111261,1,32768,385249.9
bib,HashPPMDP,111261,1,32768,383629.7
bib,AmnesiaCTW,111261,1,32768,390367.5
bib,AmnesiaSMUKN,111261,1,32768,385249.9
bib,AmnesiaPPMDP,111261,1,32768,383629.7
bib,HashCTW,111261,1,65536,390426.9
bib,HashSMUKN,111261,1,65536,385249.9
bib,HashPPMDP,111261,1,65536,383629.7
bib,AmnesiaCTW,111261,1,65536,390367.5
bib,AmnesiaSMUKN,111261,1,65536,385249.9
bib,AmnesiaPPMDP,111261,1,65536,383629.7
bib,HashCTW,111261,1,131072,390426.9
bib,HashSMUKN,111261,1,131072,385249.9
bib,HashPPMDP,111261,1,131072,383629.7
bib,AmnesiaCTW,111261,1,131072,390367.5
bib,AmnesiaSMUKN,111261,1,131072,385249.9
bib,AmnesiaPPMDP,111261,1,131072,383629.7
bib,HashCTW,111261,1,262144,390426.9
bib,HashSMUKN,111261,1,262144,385249.9
bib,HashPPMDP,111261,1,262144,383629.7
