File,Alphabet,Depth,Entropy
lcet10.txt,Bit,1,3380168
lcet10.txt,Bit,2,3317681
lcet10.txt,Bit,3,3283456
lcet10.txt,Bit,4,3197226
lcet10.txt,Bit,5,3111560
lcet10.txt,Bit,6,2843693
lcet10.txt,Bit,7,2501594
lcet10.txt,Bit,8,2234643
lcet10.txt,Bit,9,2064081
lcet10.txt,Byte,1,1505684
lcet10.txt,Byte,2,1226706
lcet10.txt,Byte,3,1071466
lcet10.txt,Byte,4,1044188
lcet10.txt,Byte,5,1042030
lcet10.txt,Byte,6,1041642
lcet10.txt,Byte,7,1041580
lcet10.txt,Byte,8,1041680
lcet10.txt,Byte,9,1041711
plrabn12.txt,Bit,1,3822950
plrabn12.txt,Bit,2,3754107
plrabn12.txt,Bit,3,3707056
plrabn12.txt,Bit,4,3589028
plrabn12.txt,Bit,5,3501092
plrabn12.txt,Bit,6,3165142
plrabn12.txt,Bit,7,2775295
plrabn12.txt,Bit,8,2521686
plrabn12.txt,Bit,9,2286871
plrabn12.txt,Byte,1,1651445
plrabn12.txt,Byte,2,1402641
plrabn12.txt,Byte,3,1286785
plrabn12.txt,Byte,4,1273683
plrabn12.txt,Byte,5,1272653
plrabn12.txt,Byte,6,1272591
plrabn12.txt,Byte,7,1272630
plrabn12.txt,Byte,8,1272639
plrabn12.txt,Byte,9,1272645
ptt5,Bit,1,475319
ptt5,Bit,2,465308.6
ptt5,Bit,3,451488.2
ptt5,Bit,4,438109.6
ptt5,Bit,5,431939.1
ptt5,Bit,6,426476
ptt5,Bit,7,423564.5
ptt5,Bit,8,422793.4
ptt5,Bit,9,422370.8
ptt5,Byte,1,634990.6
ptt5,Byte,2,615758.3
ptt5,Byte,3,594565.8
ptt5,Byte,4,589161.7
ptt5,Byte,5,577034.5
ptt5,Byte,6,574452.3
ptt5,Byte,7,568065.4
ptt5,Byte,8,566398.2
ptt5,Byte,9,565362.6
sum,Bit,1,226097.2
sum,Bit,2,218418.1
sum,Bit,3,215830.2
sum,Bit,4,212357.1
sum,Bit,5,210247.3
sum,Bit,6,205232.1
sum,Bit,7,201242.1
sum,Bit,8,192828.6
sum,Bit,9,188279
sum,Byte,1,149245.1
sum,Byte,2,140093
sum,Byte,3,140076.3
sum,Byte,4,141222
sum,Byte,5,141279.8
sum,Byte,6,143300.1
sum,Byte,7,143493.5
sum,Byte,8,142252.1
sum,Byte,9,141392.8
sum.gz,Bit,1,101819
sum.gz,Bit,2,101798
sum.gz,Bit,3,101788.4
sum.gz,Bit,4,101790
sum.gz,Bit,5,101790.3
sum.gz,Bit,6,101790.3
sum.gz,Bit,7,101790.3
sum.gz,Bit,8,101790.3
sum.gz,Bit,9,101790.3
sum.gz,Byte,1,111229.8
sum.gz,Byte,2,102141.5
sum.gz,Byte,3,102121.3
sum.gz,Byte,4,102122.2
sum.gz,Byte,5,102121.9
sum.gz,Byte,6,102121.9
sum.gz,Byte,7,102121.9
sum.gz,Byte,8,102121.9
sum.gz,Byte,9,102121.9
xargs.1,Bit,1,33554.79
xargs.1,Bit,2,33022.44
xargs.1,Bit,3,32605.84
xargs.1,Bit,4,31990.03
xargs.1,Bit,5,31679.45
xargs.1,Bit,6,29648.9
xargs.1,Bit,7,27318.4
xargs.1,Bit,8,25192.76
xargs.1,Bit,9,23578.87
xargs.1,Byte,1,18097.91
xargs.1,Byte,2,17918.97
xargs.1,Byte,3,17898.03
xargs.1,Byte,4,17914.72
xargs.1,Byte,5,17916.74
xargs.1,Byte,6,17917.4
xargs.1,Byte,7,17918
xargs.1,Byte,8,17918.37
xargs.1,Byte,9,17918.41
