Alphabet,Depth,Entropy
Bit,1,226097
Bit,2,218418
Bit,3,215830
Bit,4,212357
Bit,5,210247
Bit,6,205232
Bit,7,201242
Bit,8,192829
Bit,9,188279
Bit,10,182901
Bit,11,176987
Bit,12,170973
Bit,13,164704
Bit,14,158417
Bit,15,151245
Bit,16,145317
Bit,17,141327
Bit,18,137960
Bit,19,135847
Byte,1,149245
Byte,2,140093
Byte,3,140076
Byte,4,141222
Byte,5,141280
Byte,6,143300
Byte,7,143493
Byte,8,142252
Byte,9,141393
Byte,10,141900
Byte,11,141941
Byte,12,141890
Byte,13,141887
Byte,14,141887
Byte,15,141887
Byte,16,141885
Byte,17,141885
Byte,18,141885
Byte,19,141885
