File,Alphabet,TS,Depth,Entropy
alice29.txt,Byte,128,1,533565.5
alice29.txt,Byte,128,2,538733.2
alice29.txt,Byte,128,3,563235.9
alice29.txt,Byte,128,4,573942.6
alice29.txt,Byte,128,5,584132.3
alice29.txt,Byte,128,6,594991.1
alice29.txt,Byte,128,7,605635.4
alice29.txt,Byte,128,8,612501.1
alice29.txt,Byte,128,9,621581.8
alice29.txt,Byte,256,1,533565.5
alice29.txt,Byte,256,2,510192.9
alice29.txt,Byte,256,3,533781.8
alice29.txt,Byte,256,4,552343.9
alice29.txt,Byte,256,5,563538.5
alice29.txt,Byte,256,6,571150.5
alice29.txt,Byte,256,7,579322.1
alice29.txt,Byte,256,8,591959.3
alice29.txt,Byte,256,9,592638.9
alice29.txt,Byte,512,1,533565.5
alice29.txt,Byte,512,2,482058.6
alice29.txt,Byte,512,3,502269.1
alice29.txt,Byte,512,4,521142.6
alice29.txt,Byte,512,5,537168.4
alice29.txt,Byte,512,6,546560.1
alice29.txt,Byte,512,7,554678.3
alice29.txt,Byte,512,8,563575.1
alice29.txt,Byte,512,9,570262.3
alice29.txt,Byte,1024,1,533408.3
alice29.txt,Byte,1024,2,465499.2
alice29.txt,Byte,1024,3,472410.2
alice29.txt,Byte,1024,4,489600.2
alice29.txt,Byte,1024,5,502232
alice29.txt,Byte,1024,6,512643.7
alice29.txt,Byte,1024,7,521140
alice29.txt,Byte,1024,8,530963.5
alice29.txt,Byte,1024,9,536090.7
alice29.txt,Byte,2048,1,533408.3
alice29.txt,Byte,2048,2,455434
alice29.txt,Byte,2048,3,450586.9
alice29.txt,Byte,2048,4,464528.2
alice29.txt,Byte,2048,5,475538.6
alice29.txt,Byte,2048,6,484993.5
alice29.txt,Byte,2048,7,492778.7
alice29.txt,Byte,2048,8,500530.7
alice29.txt,Byte,2048,9,507600.4
alice29.txt,Byte,4096,1,533408.3
alice29.txt,Byte,4096,2,452623.6
alice29.txt,Byte,4096,3,436344.5
alice29.txt,Byte,4096,4,445320.4
alice29.txt,Byte,4096,5,455599.9
alice29.txt,Byte,4096,6,461970.4
alice29.txt,Byte,4096,7,467806.5
alice29.txt,Byte,4096,8,473254.4
alice29.txt,Byte,4096,9,478741.5
